Geneid,MM227,MM228,MM229,MM230,MM231,MM232,MM233,MM234,MM235,MM236,MM237,MM238
FGBKPADF_00001,22566.47,36897.1,73426.25,91854.11,22886.29,39128.1,74504.47,92882.83,22664.18,39921.65,76554.6,90686.51
FGBKPADF_00002,18006.34,31578.44,63132.15,74409.35,18132.96,33940.21,65103.44,75846.63,18297.38,34924.13,67136.69,73928.55
FGBKPADF_00003,995.52,2162.35,4632.28,5047.12,1042.8,2361.37,4430.15,4546.02,926.83,2520.81,4811.95,5311.55
FGBKPADF_00004,7744.08,16634.28,31607.83,36315.13,7776.25,17935.64,31780.79,36803.66,7649.74,18692.79,32494.1,37019.57
FGBKPADF_00005,1279.84,4163.24,8095.4,9446.24,1373.71,4567.43,8167.3,9655.06,1311.73,4641.4,8250.1,9041.0
FGBKPADF_00006,6207.33,18036.36,31108.06,38014.69,6146.78,18748.52,31428.29,36894.76,6307.42,19506.78,32280.85,36211.63
FGBKPADF_00007,8022.92,19235.6,27455.74,34730.45,8876.74,20252.31,26633.66,31559.79,9201.43,20974.49,27789.5,35898.28
FGBKPADF_00008,2938.79,4192.45,6085.91,5406.47,2800.54,4193.19,6136.27,5316.75,2687.88,4578.66,6085.66,5349.95
FGBKPADF_00009,8204.64,11813.82,17345.62,17537.54,7454.46,11777.29,17678.64,15990.34,7251.15,13330.68,18217.82,17711.82
FGBKPADF_00010,11607.89,17055.39,25879.46,24161.98,10990.43,17073.51,24606.22,23992.8,10635.56,17526.08,25751.28,24788.26
FGBKPADF_00011,4869.52,8520.39,11497.2,16603.81,4584.09,9062.14,13858.76,19186.22,4874.1,9082.7,12954.7,16839.37
FGBKPADF_00012,7624.24,13134.76,17405.64,26097.18,6026.1,12070.47,24187.79,34068.76,6467.66,11703.56,19964.46,25295.15
FGBKPADF_00013,1824.21,2790.37,4791.48,6812.95,1493.62,3060.61,6078.72,8908.02,1640.27,3593.4,5699.78,6680.14
FGBKPADF_00014,9715.54,12774.51,17477.41,21631.79,8854.73,11932.6,21246.74,27926.62,9438.17,11857.87,18493.45,20492.02
FGBKPADF_00015,466.82,219.89,150.06,91.31,549.48,281.82,151.07,60.13,554.81,248.43,132.01,79.87
FGBKPADF_00016,4771.61,3557.94,4015.08,4170.84,5084.24,3714.4,3479.38,3562.11,5116.47,4030.91,3638.34,3949.1
FGBKPADF_00017,6428.99,5142.58,5623.98,5655.37,6401.03,5040.92,4950.5,5016.11,6497.45,5067.05,5071.63,4952.12
FGBKPADF_00018,43.08,109.54,183.99,148.75,46.3,127.27,128.29,165.81,55.56,117.01,165.38,175.11
FGBKPADF_00019,39.95,218.26,416.25,459.5,47.81,310.61,375.27,460.98,55.56,341.7,403.29,683.53
FGBKPADF_00020,737.05,764.33,990.4,1290.13,694.44,771.97,902.82,1402.98,719.08,742.76,947.3,1245.71
FGBKPADF_00021,1626.83,2140.44,2946.39,3818.85,1983.15,2804.55,3209.61,4649.88,1858.49,2647.99,2994.23,3946.03
FGBKPADF_00022,7636.77,10823.12,11809.06,12578.78,7188.06,10568.96,11821.73,14193.8,7175.46,11006.58,11640.37,12483.22
FGBKPADF_00023,12130.33,11025.15,12021.75,13550.8,11780.5,10843.2,12087.9,13382.98,11926.35,11873.14,13131.69,13235.87
FGBKPADF_00024,22562.55,20769.93,23098.78,23920.45,22907.54,21001.55,20985.37,25248.2,23947.73,21684.18,23653.57,24550.18
FGBKPADF_00025,6126.65,5897.99,7429.92,7466.86,6445.05,6305.31,6377.26,7479.53,6498.26,6321.09,7391.29,7248.47
FGBKPADF_00026,313.3,2739.25,4530.5,6466.86,295.23,3051.52,4890.55,7953.26,295.52,3010.04,4942.52,6415.95
FGBKPADF_00027,221.66,828.43,1350.54,2723.12,195.81,925.0,1914.74,3461.9,221.44,841.96,1543.54,2634.27
FGBKPADF_00028,199.73,697.79,1500.6,2144.33,279.3,943.94,1522.68,2426.98,232.71,967.45,1518.88,2343.96
FGBKPADF_00029,332.1,964.74,2005.58,2755.52,414.39,1199.24,2076.6,3004.57,394.57,1153.99,1933.78,3084.32
FGBKPADF_00030,289.02,460.06,538.91,727.54,248.18,403.79,461.6,652.3,219.83,410.38,541.11,603.66
FGBKPADF_00031,2682.66,2399.28,2690.64,3019.14,2527.32,2187.12,2474.65,2532.65,2295.73,2474.17,2693.94,3199.53
FGBKPADF_00032,3393.86,3214.72,2395.74,2094.25,3425.16,3109.85,2278.02,1993.33,3425.48,2869.29,2357.38,1966.1
FGBKPADF_00033,85.38,60.85,32.62,42.71,91.07,66.67,38.37,51.02,82.13,81.4,44.97,36.86
FGBKPADF_00034,41.51,12.98,22.18,16.2,41.74,11.36,11.99,14.58,34.63,11.02,14.51,16.9
FGBKPADF_00035,51.7,34.08,43.06,54.49,38.71,39.39,51.56,54.66,68.45,33.07,29.01,66.05
FGBKPADF_00036,1706.72,1244.67,795.97,767.3,1543.71,1121.97,1076.66,967.51,1623.36,1199.78,902.33,763.4
FGBKPADF_00037,629.74,473.04,465.84,453.61,555.56,405.3,368.08,306.11,595.87,500.26,355.42,423.94
FGBKPADF_00038,473.09,368.37,339.27,324.01,454.61,344.7,257.78,304.28,493.61,356.12,281.43,290.31
FGBKPADF_00039,318.79,285.61,411.03,488.95,455.37,344.7,280.56,442.76,406.64,286.59,301.74,485.38
FGBKPADF_00040,94.77,99.8,52.19,55.96,80.45,71.21,45.56,56.48,86.16,68.68,50.77,78.34
FGBKPADF_00041,146.47,136.31,96.56,141.38,132.06,132.58,63.54,71.06,107.1,92.42,91.39,96.77
FGBKPADF_00042,1088.73,712.4,578.06,544.92,1259.11,778.03,410.04,542.97,1203.83,717.32,456.97,459.27
FGBKPADF_00043,2015.32,1512.43,912.1,1026.51,2084.09,1295.46,736.16,907.38,1972.83,1289.66,819.64,906.25
FGBKPADF_00044,125.32,91.69,44.37,86.89,92.59,71.21,73.14,105.68,96.63,86.49,66.73,119.81
FGBKPADF_00045,84.59,93.31,76.99,132.55,88.8,96.21,71.94,56.48,89.38,85.64,71.08,99.84
FGBKPADF_00046,392.41,345.65,292.29,503.68,367.33,368.18,297.34,346.19,376.85,265.39,310.45,451.59
FGBKPADF_00047,3312.4,2355.46,1253.98,1139.91,2439.28,2855.31,1550.25,1064.08,4433.63,1516.04,913.94,878.6
FGBKPADF_00048,919.55,728.63,721.59,948.45,883.42,570.46,609.07,781.66,864.82,574.03,538.21,881.67
FGBKPADF_00049,147.25,135.5,87.43,100.15,111.57,131.06,101.91,111.15,161.85,94.96,98.65,101.38
FGBKPADF_00050,195.81,187.43,194.43,217.97,220.86,250.76,236.19,298.82,274.59,200.95,172.63,211.97
