Geneid	T0	T10
IABCJNHA_00001	1972	5911
IABCJNHA_00002	1174	4558
IABCJNHA_00003	61	208
IABCJNHA_00004	619	2187
IABCJNHA_00005	83	646
IABCJNHA_00006	503	3227
IABCJNHA_00007	558	1870
IABCJNHA_00008	192	226
IABCJNHA_00009	631	1042
IABCJNHA_00010	1111	2031
IABCJNHA_00011	277	464
IABCJNHA_00012	385	653
IABCJNHA_00013	97	160
IABCJNHA_00014	819	1026
IABCJNHA_00015	20	4
IABCJNHA_00016	382	179
IABCJNHA_00017	467	236
IABCJNHA_00018	4	10
IABCJNHA_00019	1	6
IABCJNHA_00020	45	26
IABCJNHA_00021	60	85
IABCJNHA_00022	637	629
IABCJNHA_00023	2809	1063
IABCJNHA_00024	5783	2368
IABCJNHA_00025	1253	673
IABCJNHA_00026	14	173
IABCJNHA_00027	11	50
IABCJNHA_00028	8	40
IABCJNHA_00029	22	65
IABCJNHA_00030	12	20
IABCJNHA_00031	157	105
IABCJNHA_00032	153	60
IABCJNHA_00033	5	2
IABCJNHA_00034	0	4
IABCJNHA_00035	2	2
IABCJNHA_00036	81	17
IABCJNHA_00037	36	3
IABCJNHA_00038	20	6
IABCJNHA_00039	15	6
IABCJNHA_00040	8	0
IABCJNHA_00041	6	2
IABCJNHA_00042	54	12
IABCJNHA_00043	84	28
IABCJNHA_00044	12	0
IABCJNHA_00045	1	4
IABCJNHA_00046	26	5
IABCJNHA_00047	165	34
IABCJNHA_00048	47	13
IABCJNHA_00049	7	2
IABCJNHA_00050	14	4
IABCJNHA_00051	127	429
IABCJNHA_00052	76	175
IABCJNHA_00053	82	229
IABCJNHA_00054	104	309
IABCJNHA_00055	1015	943
IABCJNHA_00056	1	5
IABCJNHA_00057	2	4
IABCJNHA_00058	0	1
IABCJNHA_00059	2	5
IABCJNHA_00060	862	682
IABCJNHA_00061	21	47
IABCJNHA_00062	2	0
IABCJNHA_00063	4	0
IABCJNHA_00064	64	144
IABCJNHA_00065	335	749
IABCJNHA_00066	186	373
IABCJNHA_00067	60	72
IABCJNHA_00068	337	211
IABCJNHA_00069	39	23
IABCJNHA_00070	0	2
IABCJNHA_00071	0	0
IABCJNHA_00072	68	73
IABCJNHA_00073	0	0
IABCJNHA_00074	862	561
IABCJNHA_00079	136	267
IABCJNHA_00080	214	808
IABCJNHA_00081	252	698
IABCJNHA_00082	272	618
IABCJNHA_00083	117	293
IABCJNHA_00084	74	225
IABCJNHA_00085	46	34
IABCJNHA_00086	6340	3865
IABCJNHA_00087	15419	8426
IABCJNHA_00088	10218	5988
IABCJNHA_00089	9	7
IABCJNHA_00090	143	76
IABCJNHA_00091	8	2
IABCJNHA_00092	2	0
IABCJNHA_00093	10	0
IABCJNHA_00094	2	0
IABCJNHA_00095	2	4
IABCJNHA_00096	60	49
IABCJNHA_00097	0	0
IABCJNHA_00098	19	5
IABCJNHA_00099	45	25
IABCJNHA_00100	341	112
IABCJNHA_00101	94	34
IABCJNHA_00102	441	163
IABCJNHA_00103	208	99
IABCJNHA_00104	30	8
IABCJNHA_00105	36	22
IABCJNHA_00106	16	12
IABCJNHA_00107	73	44
IABCJNHA_00108	124	66
IABCJNHA_00109	19	6
IABCJNHA_00110	31	16
IABCJNHA_00111	3	1
IABCJNHA_00112	49	14
IABCJNHA_00113	3495	4027
IABCJNHA_00114	2091	2524
IABCJNHA_00115	266	74
IABCJNHA_00116	72	8
IABCJNHA_00117	68	4
IABCJNHA_00118	10	0
IABCJNHA_00119	10	9
IABCJNHA_00120	55	46
IABCJNHA_00121	2	2
IABCJNHA_00122	2	4
IABCJNHA_00123	12	7
IABCJNHA_00124	2	6
IABCJNHA_00125	99	47
IABCJNHA_00126	5	6
IABCJNHA_00127	4	1
IABCJNHA_00128	50	13
IABCJNHA_00129	38	8
IABCJNHA_00130	521	88
IABCJNHA_00131	16	7
IABCJNHA_00132	21	11
IABCJNHA_00133	8	2
IABCJNHA_00134	4	1
IABCJNHA_00135	9	0
IABCJNHA_00136	48	56
IABCJNHA_00137	11	19
IABCJNHA_00138	16	10
IABCJNHA_00139	15	4
IABCJNHA_00140	0	0
IABCJNHA_00141	10	12
IABCJNHA_00142	1525	564
IABCJNHA_00143	0	14
IABCJNHA_00144	33	21
IABCJNHA_00145	77	30
IABCJNHA_00146	779	347
IABCJNHA_00147	355	119
IABCJNHA_00148	1703	112
IABCJNHA_00149	710	39
IABCJNHA_00150	1099	38
IABCJNHA_00151	1704	115
IABCJNHA_00152	479	29
IABCJNHA_00153	1443	90
IABCJNHA_00154	2228	171
IABCJNHA_00155	1442	135
IABCJNHA_00156	1077	147
IABCJNHA_00157	963	189
IABCJNHA_00158	68	15
IABCJNHA_00159	88	27
IABCJNHA_00160	2	5
IABCJNHA_00161	14	7
IABCJNHA_00162	6	1
IABCJNHA_00163	210	12
IABCJNHA_00164	136	14
IABCJNHA_00165	2	0
IABCJNHA_00166	0	0
IABCJNHA_00167	27	12
IABCJNHA_00168	19	20
IABCJNHA_00169	181	76
IABCJNHA_00170	52	22
IABCJNHA_00171	2	0
IABCJNHA_00172	20	6
IABCJNHA_00173	15	2
IABCJNHA_00174	35	4
IABCJNHA_00175	11	2
IABCJNHA_00176	2	2
IABCJNHA_00177	9	0
IABCJNHA_00178	7	5
IABCJNHA_00179	11	3
IABCJNHA_00180	10	0
IABCJNHA_00181	42	9
IABCJNHA_00182	398	42
IABCJNHA_00183	369	28
IABCJNHA_00184	384	43
IABCJNHA_00185	2	2
IABCJNHA_00186	21	14
IABCJNHA_00187	26	12
IABCJNHA_00188	21	10
IABCJNHA_00189	10	0
IABCJNHA_00190	259	6
IABCJNHA_00191	109	25
IABCJNHA_00192	4	4
IABCJNHA_00193	2	2
IABCJNHA_00194	62	22
IABCJNHA_00195	34	21
IABCJNHA_00196	24	8
IABCJNHA_00197	181	20
IABCJNHA_00198	181	36
IABCJNHA_00199	196	20
IABCJNHA_00200	40	18
IABCJNHA_00201	26790	5688
IABCJNHA_00202	848	201
IABCJNHA_00203	178	47
IABCJNHA_00204	119	31
IABCJNHA_00205	119	25
IABCJNHA_00206	93	13
IABCJNHA_00207	259	61
IABCJNHA_00208	290	70
IABCJNHA_00209	82	15
IABCJNHA_00210	96	18
IABCJNHA_00211	10	1
IABCJNHA_00212	128	48
IABCJNHA_00213	437	128
IABCJNHA_00214	24	6
IABCJNHA_00215	25	16
IABCJNHA_00216	78	13
IABCJNHA_00217	39	2
IABCJNHA_00218	1	1
IABCJNHA_00219	2	2
IABCJNHA_00220	56	12
IABCJNHA_00221	13	29
IABCJNHA_00222	90	73
IABCJNHA_00223	23	36
IABCJNHA_00224	2	1
IABCJNHA_00225	0	4
IABCJNHA_00226	0	5
IABCJNHA_00227	2	4
IABCJNHA_00228	151	10
IABCJNHA_00229	55	11
IABCJNHA_00230	143	22
IABCJNHA_00231	11	2
IABCJNHA_00232	14	5
IABCJNHA_00233	618	567
IABCJNHA_00234	13	8
IABCJNHA_00235	27	28
IABCJNHA_00236	29	4
IABCJNHA_00237	13	12
IABCJNHA_00238	2	0
IABCJNHA_00239	658	259
IABCJNHA_00240	2770	970
IABCJNHA_00241	57	30
IABCJNHA_00242	2	4
IABCJNHA_00243	39	2
IABCJNHA_00244	280	63
IABCJNHA_00245	69	17
IABCJNHA_00246	99	29
IABCJNHA_00247	9	9
IABCJNHA_00248	6	2
IABCJNHA_00249	90	14
IABCJNHA_00250	962	76
IABCJNHA_00251	565	19
IABCJNHA_00252	341	18
IABCJNHA_00253	51	22
IABCJNHA_00254	8	5
IABCJNHA_00255	20	2
IABCJNHA_00256	11	8
IABCJNHA_00257	8	8
IABCJNHA_00258	15	6
IABCJNHA_00259	3	1
IABCJNHA_00260	9	18
IABCJNHA_00261	4	18
IABCJNHA_00262	25	1
IABCJNHA_00263	2	4
IABCJNHA_00264	3	2
IABCJNHA_00265	1	0
IABCJNHA_00266	120	30
