,Geneid,Chr,Start,End,Strand,Length,MM227,MM228,MM229,MM230,MM231,MM232,MM233,MM234,MM235,MM236,MM237,MM238,pseudo_ref
0,FGBKPADF_00001,manual_scaffold_1,12197,14662,-,2466,22566.47,36897.10,73426.25,91854.11,22886.29,39128.10,74504.47,92882.83,22664.18,39921.65,76554.60,90686.51,47907.25
1,FGBKPADF_00002,manual_scaffold_1,14873,16795,-,1923,18006.34,31578.44,63132.15,74409.35,18132.96,33940.21,65103.44,75846.63,18297.38,34924.13,67136.69,73928.55,40312.92
2,FGBKPADF_00003,manual_scaffold_1,16844,17089,-,246,995.52,2162.35,4632.28,5047.12,1042.80,2361.37,4430.15,4546.02,926.83,2520.81,4811.95,5311.55,2707.75
3,FGBKPADF_00004,manual_scaffold_1,17107,18219,-,1113,7744.08,16634.28,31607.83,36315.13,7776.25,17935.64,31780.79,36803.66,7649.74,18692.79,32494.10,37019.57,19828.50
4,FGBKPADF_00005,manual_scaffold_1,18235,18450,-,216,1279.84,4163.24,8095.40,9446.24,1373.71,4567.43,8167.30,9655.06,1311.73,4641.40,8250.10,9041.00,4834.08
5,FGBKPADF_00006,manual_scaffold_1,18581,19717,-,1137,6207.33,18036.36,31108.06,38014.69,6146.78,18748.52,31428.29,36894.76,6307.42,19506.78,32280.85,36211.63,19648.42
6,FGBKPADF_00007,manual_scaffold_1,19906,21246,-,1341,8022.92,19235.60,27455.74,34730.45,8876.74,20252.31,26633.66,31559.79,9201.43,20974.49,27789.50,35898.28,19602.33
7,FGBKPADF_00008,manual_scaffold_1,22159,22509,+,351,2938.79,4192.45,6085.91,5406.47,2800.54,4193.19,6136.27,5316.75,2687.88,4578.66,6085.66,5349.95,4244.25
8,FGBKPADF_00009,manual_scaffold_1,22660,23439,+,780,8204.64,11813.82,17345.62,17537.54,7454.46,11777.29,17678.64,15990.34,7251.15,13330.68,18217.82,17711.82,12328.42
9,FGBKPADF_00010,manual_scaffold_1,23436,24062,+,627,11607.89,17055.39,25879.46,24161.98,10990.43,17073.51,24606.22,23992.80,10635.56,17526.08,25751.28,24788.26,17546.25
10,FGBKPADF_00011,manual_scaffold_1,24373,25752,+,1380,4869.52,8520.39,11497.20,16603.81,4584.09,9062.14,13858.76,19186.22,4874.10,9082.70,12954.70,16839.37,9462.67
11,FGBKPADF_00012,manual_scaffold_1,25773,27659,+,1887,7624.24,13134.76,17405.64,26097.18,6026.10,12070.47,24187.79,34068.76,6467.66,11703.56,19964.46,25295.15,14315.92
12,FGBKPADF_00013,manual_scaffold_1,27673,28392,+,720,1824.21,2790.37,4791.48,6812.95,1493.62,3060.61,6078.72,8908.02,1640.27,3593.40,5699.78,6680.14,3715.50
13,FGBKPADF_00014,manual_scaffold_1,28514,29365,+,852,9715.54,12774.51,17477.41,21631.79,8854.73,11932.60,21246.74,27926.62,9438.17,11857.87,18493.45,20492.02,14040.92
14,FGBKPADF_00015,manual_scaffold_1,29416,29856,-,441,466.82,219.89,150.06,91.31,549.48,281.82,151.07,60.13,554.81,248.43,132.01,79.87,285.33
15,FGBKPADF_00016,manual_scaffold_1,30104,30865,+,762,4771.61,3557.94,4015.08,4170.84,5084.24,3714.40,3479.38,3562.11,5116.47,4030.91,3638.34,3949.10,4086.00
16,FGBKPADF_00017,manual_scaffold_1,30858,31706,+,849,6428.99,5142.58,5623.98,5655.37,6401.03,5040.92,4950.50,5016.11,6497.45,5067.05,5071.63,4952.12,5452.58
17,FGBKPADF_00018,manual_scaffold_1,31745,32362,-,618,43.08,109.54,183.99,148.75,46.30,127.27,128.29,165.81,55.56,117.01,165.38,175.11,107.83
18,FGBKPADF_00019,manual_scaffold_1,32840,33838,+,999,39.95,218.26,416.25,459.50,47.81,310.61,375.27,460.98,55.56,341.70,403.29,683.53,265.42
19,FGBKPADF_00020,manual_scaffold_1,33932,34138,+,207,737.05,764.33,990.40,1290.13,694.44,771.97,902.82,1402.98,719.08,742.76,947.30,1245.71,850.67
20,FGBKPADF_00021,manual_scaffold_1,34189,36192,+,2004,1626.83,2140.44,2946.39,3818.85,1983.15,2804.55,3209.61,4649.88,1858.49,2647.99,2994.23,3946.03,2597.83
21,FGBKPADF_00022,manual_scaffold_1,36319,37419,+,1101,7636.77,10823.12,11809.06,12578.78,7188.06,10568.96,11821.73,14193.80,7175.46,11006.58,11640.37,12483.22,9982.92
22,FGBKPADF_00023,manual_scaffold_1,37530,37817,+,288,12130.33,11025.15,12021.75,13550.80,11780.50,10843.20,12087.90,13382.98,11926.35,11873.14,13131.69,13235.87,11769.50
23,FGBKPADF_00024,manual_scaffold_1,37858,38376,+,519,22562.55,20769.93,23098.78,23920.45,22907.54,21001.55,20985.37,25248.20,23947.73,21684.18,23653.57,24550.18,22101.25
24,FGBKPADF_00025,manual_scaffold_1,38420,38659,+,240,6126.65,5897.99,7429.92,7466.86,6445.05,6305.31,6377.26,7479.53,6498.26,6321.09,7391.29,7248.47,6452.75
25,FGBKPADF_00026,manual_scaffold_1,38724,39482,+,759,313.30,2739.25,4530.50,6466.86,295.23,3051.52,4890.55,7953.26,295.52,3010.04,4942.52,6415.95,3000.08
26,FGBKPADF_00027,manual_scaffold_1,39541,40476,+,936,221.66,828.43,1350.54,2723.12,195.81,925.00,1914.74,3461.90,221.44,841.96,1543.54,2634.27,1100.92
27,FGBKPADF_00028,manual_scaffold_1,40532,40912,+,381,199.73,697.79,1500.60,2144.33,279.30,943.94,1522.68,2426.98,232.71,967.45,1518.88,2343.96,995.00
28,FGBKPADF_00029,manual_scaffold_1,40930,41484,+,555,332.10,964.74,2005.58,2755.52,414.39,1199.24,2076.60,3004.57,394.57,1153.99,1933.78,3084.32,1310.25
29,FGBKPADF_00030,manual_scaffold_1,41518,42873,-,1356,289.02,460.06,538.91,727.54,248.18,403.79,461.60,652.30,219.83,410.38,541.11,603.66,414.08
30,FGBKPADF_00031,manual_scaffold_1,43099,43998,+,900,2682.66,2399.28,2690.64,3019.14,2527.32,2187.12,2474.65,2532.65,2295.73,2474.17,2693.94,3199.53,2489.50
31,FGBKPADF_00032,manual_scaffold_1,43995,46064,-,2070,3393.86,3214.72,2395.74,2094.25,3425.16,3109.85,2278.02,1993.33,3425.48,2869.29,2357.38,1966.10,2809.00
32,FGBKPADF_00033,manual_scaffold_1,46136,47053,-,918,85.38,60.85,32.62,42.71,91.07,66.67,38.37,51.02,82.13,81.40,44.97,36.86,63.25
33,FGBKPADF_00034,manual_scaffold_1,47050,47460,-,411,41.51,12.98,22.18,16.20,41.74,11.36,11.99,14.58,34.63,11.02,14.51,16.90,21.83
34,FGBKPADF_00035,manual_scaffold_1,47617,47856,-,240,51.70,34.08,43.06,54.49,38.71,39.39,51.56,54.66,68.45,33.07,29.01,66.05,45.08
35,FGBKPADF_00036,manual_scaffold_1,48205,49581,+,1377,1706.72,1244.67,795.97,767.30,1543.71,1121.97,1076.66,967.51,1623.36,1199.78,902.33,763.40,1194.83
36,FGBKPADF_00037,manual_scaffold_1,50088,50654,-,567,629.74,473.04,465.84,453.61,555.56,405.30,368.08,306.11,595.87,500.26,355.42,423.94,470.42
37,FGBKPADF_00038,manual_scaffold_1,50814,51170,-,357,473.09,368.37,339.27,324.01,454.61,344.70,257.78,304.28,493.61,356.12,281.43,290.31,365.83
38,FGBKPADF_00039,manual_scaffold_1,51581,52102,+,522,318.79,285.61,411.03,488.95,455.37,344.70,280.56,442.76,406.64,286.59,301.74,485.38,358.75
39,FGBKPADF_00040,manual_scaffold_1,52197,52802,-,606,94.77,99.80,52.19,55.96,80.45,71.21,45.56,56.48,86.16,68.68,50.77,78.34,72.08
40,FGBKPADF_00041,manual_scaffold_1,52799,53245,-,447,146.47,136.31,96.56,141.38,132.06,132.58,63.54,71.06,107.10,92.42,91.39,96.77,111.17
41,FGBKPADF_00042,manual_scaffold_1,53365,53817,+,453,1088.73,712.40,578.06,544.92,1259.11,778.03,410.04,542.97,1203.83,717.32,456.97,459.27,780.17
42,FGBKPADF_00043,manual_scaffold_1,53964,54626,+,663,2015.32,1512.43,912.10,1026.51,2084.09,1295.46,736.16,907.38,1972.83,1289.66,819.64,906.25,1377.25
43,FGBKPADF_00044,manual_scaffold_1,54801,55280,-,480,125.32,91.69,44.37,86.89,92.59,71.21,73.14,105.68,96.63,86.49,66.73,119.81,87.25
44,FGBKPADF_00045,manual_scaffold_1,55363,55806,-,444,84.59,93.31,76.99,132.55,88.80,96.21,71.94,56.48,89.38,85.64,71.08,99.84,86.08
45,FGBKPADF_00046,manual_scaffold_1,55820,56698,-,879,392.41,345.65,292.29,503.68,367.33,368.18,297.34,346.19,376.85,265.39,310.45,451.59,349.17
46,FGBKPADF_00047,manual_scaffold_1,56885,58099,+,1215,3312.40,2355.46,1253.98,1139.91,2439.28,2855.31,1550.25,1064.08,4433.63,1516.04,913.94,878.60,2185.25
47,FGBKPADF_00048,manual_scaffold_1,58132,58971,-,840,919.55,728.63,721.59,948.45,883.42,570.46,609.07,781.66,864.82,574.03,538.21,881.67,734.92
48,FGBKPADF_00049,manual_scaffold_1,59117,59506,+,390,147.25,135.50,87.43,100.15,111.57,131.06,101.91,111.15,161.85,94.96,98.65,101.38,116.92
49,FGBKPADF_00050,manual_scaffold_1,59574,60362,+,789,195.81,187.43,194.43,217.97,220.86,250.76,236.19,298.82,274.59,200.95,172.63,211.97,216.33
50,FGBKPADF_00051,manual_scaffold_1,60737,61393,-,657,2406.95,3808.66,7560.41,11122.23,2221.46,3414.40,6515.14,7071.39,1959.14,4142.84,7640.81,9511.02,4720.00
51,FGBKPADF_00052,manual_scaffold_1,61390,62145,-,756,1314.31,2230.51,4137.74,4603.82,1191.56,1882.58,4092.04,2417.87,1059.69,2472.47,4360.79,5128.76,2508.00
52,FGBKPADF_00053,manual_scaffold_1,62142,62852,-,711,1431.01,2433.36,4419.59,4583.21,1325.89,2140.16,4273.09,2470.70,1046.00,2664.95,4545.03,5204.03,2648.33
53,FGBKPADF_00054,manual_scaffold_1,62842,63597,-,756,1781.91,3661.80,6598.72,9101.61,1770.64,3178.04,5541.59,5336.80,1351.19,3600.18,5981.21,7749.21,3933.00
54,FGBKPADF_00055,manual_scaffold_1,63711,64148,-,438,8168.61,8051.41,12114.40,16182.61,7864.29,6594.71,9106.09,10932.32,6590.05,7946.51,11595.40,14172.84,9005.17
55,FGBKPADF_00056,manual_scaffold_1,65627,65866,+,240,25.06,53.55,86.12,209.13,37.95,78.03,85.13,145.76,62.00,61.90,97.20,250.37,82.50
56,FGBKPADF_00057,manual_scaffold_1,65910,67217,-,1308,20.36,33.27,66.55,86.89,19.73,31.82,34.77,69.24,27.38,34.76,24.66,95.23,38.83
57,FGBKPADF_00058,manual_scaffold_1,67528,67638,+,111,3.13,10.55,18.27,38.29,6.07,26.52,29.97,49.20,5.64,25.44,56.58,66.05,22.58
58,FGBKPADF_00059,manual_scaffold_1,67650,68096,+,447,20.36,140.37,199.64,354.93,21.25,164.39,338.11,564.84,20.94,151.77,320.60,470.02,180.17
59,FGBKPADF_00060,manual_scaffold_1,68129,69058,-,930,10581.04,10623.51,13357.94,14403.52,10727.07,10347.74,12363.66,12471.96,10381.11,9699.12,12918.43,12518.55,11079.58
60,FGBKPADF_00061,manual_scaffold_1,69263,69640,+,378,414.34,496.57,1384.47,3103.09,455.37,593.18,1544.26,3263.30,396.98,569.79,1260.65,2895.39,1057.50
61,FGBKPADF_00062,manual_scaffold_1,69670,70152,-,483,13.32,18.66,24.79,38.29,25.80,100.00,131.89,112.97,103.07,36.46,15.96,49.15,53.08
62,FGBKPADF_00063,manual_scaffold_1,70298,70447,+,150,19.58,48.68,152.67,366.72,15.94,46.21,190.63,384.45,22.55,46.63,159.58,397.83,112.92
63,FGBKPADF_00064,manual_scaffold_1,70674,71603,+,930,1600.20,2695.43,3898.95,5200.29,1568.76,2726.52,4333.04,5072.60,1604.84,2847.25,4079.35,5353.02,2966.33
64,FGBKPADF_00065,manual_scaffold_1,71640,73619,+,1980,5991.15,10414.99,16708.84,19241.51,6843.50,11409.87,17954.40,21308.92,6901.68,11365.24,18452.83,21043.45,12124.83
65,FGBKPADF_00066,manual_scaffold_1,73616,74065,+,450,3190.21,4585.97,9303.71,8967.59,3638.43,5681.07,8200.88,8988.19,3719.39,5883.57,9645.67,9103.98,5928.67
66,FGBKPADF_00067,manual_scaffold_1,74102,76159,-,2058,1656.59,2139.63,2584.94,3164.95,1513.36,1834.09,2426.69,2503.50,1313.34,1973.06,2440.07,3377.70,2044.50
67,FGBKPADF_00068,manual_scaffold_1,76264,77472,-,1209,4753.60,5039.54,5387.80,6306.33,4565.12,4163.64,4787.44,5140.01,4385.32,4305.63,4996.19,5942.85,4737.75
68,FGBKPADF_00069,manual_scaffold_1,77545,77685,-,141,476.22,468.17,558.48,692.19,406.80,400.76,429.23,528.40,395.37,432.43,507.74,631.30,463.17
69,FGBKPADF_00070,manual_scaffold_1,77806,78009,+,204,12.53,12.17,28.71,54.49,13.66,21.97,38.37,32.80,7.25,18.65,43.52,35.33,22.58
70,FGBKPADF_00071,manual_scaffold_1,78057,78257,-,201,3.92,8.93,6.52,38.29,3.04,11.36,8.39,9.11,6.44,5.94,14.51,16.90,9.50
71,FGBKPADF_00072,manual_scaffold_1,78427,79791,+,1365,1751.37,2810.65,2691.94,2615.61,1797.21,2592.43,2583.76,2532.65,1745.75,2848.09,2624.31,2766.37,2334.25
72,FGBKPADF_00073,manual_scaffold_1,79912,80331,+,420,64.23,91.69,96.56,70.69,62.99,95.45,95.92,69.24,67.64,74.62,114.60,47.62,77.17
73,FGBKPADF_00074,manual_scaffold_1,80537,81829,+,1293,11485.71,10123.70,12298.39,16680.40,11113.38,10221.99,11987.19,15791.74,10604.16,10217.19,12412.14,16056.00,11576.75
74,FGBKPADF_00079,manual_scaffold_1,82857,83567,+,711,2427.32,5000.59,6833.60,8949.92,2218.43,4785.61,8896.27,10017.65,2333.57,5390.94,8445.94,8882.79,5299.58
75,FGBKPADF_00080,manual_scaffold_1,83575,85410,+,1836,4358.84,10057.98,17104.22,17985.25,4785.97,11554.56,22761.03,23573.73,4717.07,12208.90,22345.05,19054.30,12068.83
76,FGBKPADF_00081,manual_scaffold_1,85391,86767,+,1377,4697.99,9456.74,15790.21,16882.16,4168.18,9763.65,23167.47,20849.76,4398.20,10256.19,20495.41,19018.98,11202.58
77,FGBKPADF_00082,manual_scaffold_1,86754,87596,+,843,4487.29,7908.61,12898.62,14340.19,3926.07,7803.04,19739.65,17446.16,4185.62,8239.89,17697.02,15596.73,9489.92
78,FGBKPADF_00083,manual_scaffold_1,87618,88412,+,795,2487.63,4472.38,7642.61,8045.65,2038.55,4388.64,11854.10,11307.66,2133.88,4596.46,9702.24,9096.30,5438.42
79,FGBKPADF_00084,manual_scaffold_1,88494,89696,+,1203,1886.87,3370.51,6472.15,6864.50,1618.09,3595.46,9893.80,10449.48,1624.16,3806.22,8625.83,8613.99,4592.42
80,FGBKPADF_00085,manual_scaffold_1,90131,91516,-,1386,1712.99,1491.33,1367.50,1652.43,1658.32,1416.67,1384.80,1481.33,1772.33,1240.48,1251.95,1459.22,1474.58
81,FGBKPADF_00086,manual_scaffold_1,91757,92962,+,1206,44478.92,42137.05,51522.73,48014.68,40026.53,43906.13,59823.23,63782.81,43738.82,42185.54,56085.30,43258.88,45608.17
82,FGBKPADF_00087,manual_scaffold_1,93185,94588,+,1404,60456.61,59973.00,67864.90,63016.14,48813.72,53723.57,82689.76,78461.27,56291.65,53082.75,73437.05,60589.77,59644.92
83,FGBKPADF_00088,manual_scaffold_1,94662,95552,+,891,47478.80,47430.55,55929.27,51434.41,37275.32,42337.95,64796.50,61548.97,43090.61,41673.41,58333.87,46845.48,46921.17
84,FGBKPADF_00089,manual_scaffold_1,95789,95905,-,117,256.13,201.22,255.75,378.50,300.55,210.61,260.17,433.65,248.01,211.97,278.53,258.05,256.25
85,FGBKPADF_00090,manual_scaffold_1,95906,97003,-,1098,2329.41,2136.39,2168.69,2434.46,2867.33,2145.46,1917.13,2375.96,2493.82,2195.21,2100.61,2058.26,2242.42
86,FGBKPADF_00091,manual_scaffold_1,97114,97584,+,471,142.55,213.40,208.78,301.91,227.69,225.76,223.01,253.27,222.25,211.13,168.28,253.44,211.58
87,FGBKPADF_00092,manual_scaffold_1,97726,98463,+,738,45.43,24.34,6.52,14.73,44.02,41.67,35.97,9.11,56.37,23.74,14.51,9.22,30.42
88,FGBKPADF_00093,manual_scaffold_1,98474,99637,+,1164,122.19,98.99,60.02,85.42,113.84,112.12,56.35,81.99,99.04,80.55,82.69,82.94,91.75
89,FGBKPADF_00094,manual_scaffold_1,99653,99901,+,249,28.20,27.59,24.79,23.56,48.57,37.88,19.18,20.04,36.24,46.63,42.07,30.72,32.92
90,FGBKPADF_00095,manual_scaffold_1,100006,100176,+,171,54.83,56.80,70.46,47.13,66.79,55.30,49.16,56.48,56.37,56.81,68.18,46.08,56.08
91,FGBKPADF_00096,manual_scaffold_1,100254,101465,+,1212,1112.23,1284.43,1526.70,801.18,1527.78,1457.58,1172.58,670.52,1356.82,1553.35,1441.99,829.45,1254.25
92,FGBKPADF_00097,manual_scaffold_1,101499,101912,-,414,103.39,94.12,57.41,64.80,112.33,98.49,64.74,69.24,143.33,101.75,69.63,79.87,92.00
93,FGBKPADF_00098,manual_scaffold_1,102097,102267,+,171,359.52,251.53,199.64,235.64,389.34,248.49,202.62,227.76,380.88,230.63,204.55,259.59,272.67
94,FGBKPADF_00099,manual_scaffold_1,102348,102827,+,480,1106.74,783.80,700.71,759.94,1152.85,694.70,574.30,666.87,1017.01,718.17,515.00,638.98,799.50
95,FGBKPADF_00100,manual_scaffold_1,103089,104534,+,1446,5406.05,3521.43,3277.83,4664.21,5962.35,4097.73,2937.45,4442.17,5397.50,3806.22,2801.29,3508.27,4206.75
96,FGBKPADF_00101,manual_scaffold_1,104503,104925,+,423,1387.93,961.50,824.68,1175.26,1413.17,981.06,878.84,1118.74,1303.68,1022.57,919.74,926.22,1079.42
97,FGBKPADF_00102,manual_scaffold_1,104925,106685,+,1761,5631.63,4063.44,3738.45,4232.69,5724.80,4334.10,3594.48,3758.90,5363.68,4724.50,3726.83,3303.97,4434.58
98,FGBKPADF_00103,manual_scaffold_1,107219,109234,-,2016,3955.46,3446.78,3059.92,4596.46,3737.85,3178.04,3500.96,5595.53,3939.22,2927.80,3126.25,4306.99,3598.25
99,FGBKPADF_00104,manual_scaffold_1,109616,109765,+,150,494.24,443.02,657.65,998.53,414.39,361.36,622.26,686.91,326.93,480.76,721.00,692.74,516.58
100,FGBKPADF_00105,manual_scaffold_1,109823,110782,+,960,795.01,455.19,576.75,346.10,673.95,324.24,462.80,233.22,559.64,433.28,525.15,337.92,489.25
101,FGBKPADF_00106,manual_scaffold_1,110763,111521,+,759,538.88,366.75,521.95,671.58,552.52,315.15,442.42,380.81,425.97,368.84,451.17,619.02,449.67
102,FGBKPADF_00107,manual_scaffold_1,111671,112300,+,630,1293.16,1031.28,1357.06,2050.07,1276.56,911.37,1170.18,1206.20,1064.52,1009.85,1195.37,1637.40,1190.00
103,FGBKPADF_00108,manual_scaffold_1,112321,113043,+,723,1617.43,1481.60,1869.88,2063.33,1530.81,1211.37,1445.94,1357.43,1324.61,1388.01,1672.65,1783.32,1490.67
104,FGBKPADF_00109,manual_scaffold_1,113174,113332,-,159,205.21,124.14,147.45,148.75,194.29,121.21,118.70,116.61,190.04,118.71,149.42,132.10,147.75
105,FGBKPADF_00110,manual_scaffold_1,113360,114070,-,711,1078.55,653.17,588.50,684.83,1146.02,719.70,586.29,508.35,1167.59,670.69,565.77,620.55,780.08
106,FGBKPADF_00111,manual_scaffold_1,114414,114644,+,231,205.21,165.52,140.93,69.22,219.34,178.79,140.28,72.88,181.18,141.60,137.82,47.62,151.75
107,FGBKPADF_00112,manual_scaffold_1,114658,116097,+,1440,1475.66,1053.99,938.20,552.28,1247.72,1130.30,1007.13,635.90,1356.82,1035.29,919.74,522.25,1040.17
108,FGBKPADF_00113,manual_scaffold_1,116207,117736,-,1530,30547.09,37503.21,50507.54,78089.76,31070.11,36729.61,51737.45,80968.42,31851.12,39156.85,55860.44,86049.27,44518.75
109,FGBKPADF_00114,manual_scaffold_1,117750,118313,-,564,15174.86,18316.29,25885.98,41413.80,15968.42,18852.30,25560.59,41619.35,16272.21,19665.33,28294.34,43049.98,22577.00
110,FGBKPADF_00115,manual_scaffold_1,118777,120183,-,1407,4814.69,3278.01,2292.65,4827.68,4170.46,2706.82,2373.94,4688.14,3952.90,2846.40,2437.17,4790.84,3492.33
111,FGBKPADF_00116,manual_scaffold_1,120206,121438,-,1233,1857.11,694.55,424.08,1764.36,1631.75,681.06,464.00,1581.54,1602.42,571.48,451.17,1674.26,1093.25
112,FGBKPADF_00117,manual_scaffold_1,121467,123008,-,1542,1670.69,623.96,493.24,2138.44,1532.33,624.24,505.96,2117.23,1655.57,557.07,536.76,2088.98,1133.50
113,FGBKPADF_00118,manual_scaffold_1,123001,123732,-,732,398.68,119.27,138.32,830.63,348.36,121.97,177.45,803.53,362.36,125.49,146.52,830.99,314.58
114,FGBKPADF_00119,manual_scaffold_1,123928,125076,+,1149,297.64,248.28,292.29,247.42,330.90,255.30,242.19,327.97,310.82,262.00,237.91,211.97,269.17
115,FGBKPADF_00120,manual_scaffold_1,125169,126200,+,1032,1076.98,1005.31,949.94,1007.36,1029.90,958.33,877.64,885.52,1037.95,804.66,842.85,936.97,941.25
116,FGBKPADF_00121,manual_scaffold_1,126240,126932,-,693,32.90,57.61,79.60,111.93,39.47,50.76,76.73,103.86,45.90,49.18,72.53,118.27,61.00
117,FGBKPADF_00122,manual_scaffold_1,126902,127306,-,405,38.38,89.25,82.21,122.24,75.14,78.79,87.52,142.12,57.17,78.85,95.75,142.85,81.83
118,FGBKPADF_00123,manual_scaffold_1,127533,127964,+,432,365.78,499.00,506.29,727.54,394.66,500.76,520.35,579.41,368.80,482.45,536.76,748.04,481.75
119,FGBKPADF_00124,manual_scaffold_1,128021,129091,-,1071,108.09,148.48,126.57,181.15,134.34,157.58,161.86,202.25,115.95,154.32,159.58,231.94,146.58
120,FGBKPADF_00125,manual_scaffold_1,129222,129797,+,576,1287.68,1720.96,1654.57,1949.92,1333.48,1559.09,1451.94,1601.59,1302.87,1714.45,1613.17,1923.09,1522.17
121,FGBKPADF_00126,manual_scaffold_1,129891,130904,+,1014,108.87,134.69,142.23,131.07,124.47,124.24,123.49,105.68,97.43,124.64,143.62,95.23,118.42
122,FGBKPADF_00127,manual_scaffold_1,131012,132220,+,1209,92.42,107.91,90.04,73.64,85.00,110.61,101.91,83.81,106.29,89.03,66.73,72.19,90.75
123,FGBKPADF_00128,manual_scaffold_1,132250,132705,-,456,1035.47,529.03,366.67,287.19,917.58,357.58,224.21,204.07,1143.44,425.65,288.69,285.70,561.42
124,FGBKPADF_00129,manual_scaffold_1,132962,133387,+,426,499.72,318.88,268.80,83.95,403.76,225.76,185.84,60.13,315.65,301.85,211.80,75.26,271.25
125,FGBKPADF_00130,manual_scaffold_1,133488,134720,+,1233,6907.56,4086.97,2789.81,1739.32,7178.96,3046.97,1601.81,1461.29,6167.30,3137.23,2044.03,1363.98,3870.83
126,FGBKPADF_00131,manual_scaffold_1,134784,135983,-,1200,273.36,266.95,215.30,157.58,247.42,199.24,164.26,96.57,205.34,234.02,168.28,196.61,208.67
127,FGBKPADF_00132,manual_scaffold_1,135980,138223,-,2244,649.32,507.12,478.89,453.61,547.97,448.49,393.26,258.73,457.37,513.83,481.63,345.60,470.33
128,FGBKPADF_00133,manual_scaffold_1,138244,138726,-,483,143.34,72.21,66.55,39.76,132.06,63.64,44.36,27.33,79.72,67.83,49.32,36.86,74.75
129,FGBKPADF_00134,manual_scaffold_1,138730,138999,-,270,72.84,37.32,18.27,19.15,50.85,20.45,13.19,1.82,41.87,15.26,27.56,12.29,30.75
130,FGBKPADF_00135,manual_scaffold_1,138999,139733,-,735,284.32,129.01,84.82,55.96,211.75,66.67,39.57,45.55,185.20,89.03,91.39,64.51,124.17
131,FGBKPADF_00136,manual_scaffold_1,140242,141234,+,993,1093.43,1326.62,2111.28,2055.96,1093.65,990.91,1466.33,1229.89,811.68,1241.32,1848.18,1534.48,1286.42
132,FGBKPADF_00137,manual_scaffold_1,141314,141793,+,480,362.65,442.21,571.53,412.37,352.91,330.30,358.49,205.89,258.48,360.36,419.25,357.89,358.92
133,FGBKPADF_00138,manual_scaffold_1,141832,143169,-,1338,383.80,468.98,335.35,189.99,469.79,455.30,345.30,202.25,347.86,387.49,261.12,202.75,356.17
134,FGBKPADF_00139,manual_scaffold_1,143312,144454,+,1143,366.57,387.84,266.19,241.53,437.16,321.21,262.57,293.35,409.06,354.42,232.11,247.30,328.42
135,FGBKPADF_00140,manual_scaffold_1,144483,145304,-,822,13.32,12.17,2.61,32.40,9.87,10.61,11.99,40.09,20.94,13.57,8.70,15.36,14.42
