locus_tag	ftype	length_bp	gene	EC_number	COG	product
IABCJNHA_00001	CDS	2466	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
IABCJNHA_00002	CDS	1923	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
IABCJNHA_00003	CDS	246				hypothetical protein
IABCJNHA_00004	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
IABCJNHA_00005	CDS	216				hypothetical protein
IABCJNHA_00006	CDS	1137	dnaN		COG0592	Beta sliding clamp
IABCJNHA_00007	CDS	1341	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
IABCJNHA_00008	CDS	351	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
IABCJNHA_00009	CDS	780	misCA		COG0706	Membrane protein insertase MisCA
IABCJNHA_00010	CDS	627				hypothetical protein
IABCJNHA_00011	CDS	1380	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
IABCJNHA_00012	CDS	1887	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
IABCJNHA_00013	CDS	720	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
IABCJNHA_00014	CDS	852	noc		COG1475	Nucleoid occlusion protein
IABCJNHA_00015	CDS	441				hypothetical protein
IABCJNHA_00016	CDS	762	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
IABCJNHA_00017	CDS	849	spo0J		COG1475	Stage 0 sporulation protein J
IABCJNHA_00018	CDS	618				hypothetical protein
IABCJNHA_00019	CDS	999				hypothetical protein
IABCJNHA_00020	CDS	207				hypothetical protein
IABCJNHA_00021	CDS	2004	ynfF	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
IABCJNHA_00022	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
IABCJNHA_00023	CDS	288	rpsF		COG0360	30S ribosomal protein S6
IABCJNHA_00024	CDS	519	ssbA		COG0629	Single-stranded DNA-binding protein A
IABCJNHA_00025	CDS	240	rpsR		COG0238	30S ribosomal protein S18
IABCJNHA_00026	CDS	759	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
IABCJNHA_00027	CDS	936	ccpB_1			Catabolite control protein B
IABCJNHA_00028	CDS	381				hypothetical protein
IABCJNHA_00029	CDS	555	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
IABCJNHA_00030	CDS	1356	ydjE			Inner membrane metabolite transport protein YdjE
IABCJNHA_00031	CDS	900				hypothetical protein
IABCJNHA_00032	CDS	2070		5.1.3.11		Cellobiose 2-epimerase
IABCJNHA_00033	CDS	918				hypothetical protein
IABCJNHA_00034	CDS	411				hypothetical protein
IABCJNHA_00035	CDS	240				hypothetical protein
IABCJNHA_00036	CDS	1377	tet(L)			tetracycline efflux MFS transporter Tet(L)
IABCJNHA_00037	CDS	567	yyaP		COG0262	putative protein YyaP
IABCJNHA_00038	CDS	357				hypothetical protein
IABCJNHA_00039	CDS	522	satA	2.3.-.-		Streptothricin acetyltransferase A
IABCJNHA_00040	CDS	606				hypothetical protein
IABCJNHA_00041	CDS	447	yjcF_1	2.3.1.-		putative N-acetyltransferase YjcF
IABCJNHA_00042	CDS	453				hypothetical protein
IABCJNHA_00043	CDS	663	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
IABCJNHA_00044	CDS	480				hypothetical protein
