# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-O" "-s" "1" "-t" "CDS" "--ignoreDup" "-T" "1" "-G" "../data/reference/YB886.fa" "-a" "../results/bacillus_annotation/YB886.gff" "-g" "ID" "-o" "../results/featureCounts/tmp_counts.txt" "T0" "T10" 
Geneid	Chr	Start	End	Strand	Length	T0	T10
IABCJNHA_00001	manual_scaffold_1	197	2662	-	2466	1972	5911
IABCJNHA_00002	manual_scaffold_1	2873	4795	-	1923	1174	4558
IABCJNHA_00003	manual_scaffold_1	4844	5089	-	246	61	208
IABCJNHA_00004	manual_scaffold_1	5107	6219	-	1113	619	2187
IABCJNHA_00005	manual_scaffold_1	6235	6450	-	216	83	646
IABCJNHA_00006	manual_scaffold_1	6581	7717	-	1137	503	3227
IABCJNHA_00007	manual_scaffold_1	7906	9246	-	1341	558	1870
IABCJNHA_00008	manual_scaffold_1	10159	10509	+	351	192	226
IABCJNHA_00009	manual_scaffold_1	10660	11439	+	780	631	1042
IABCJNHA_00010	manual_scaffold_1	11436	12062	+	627	1111	2031
IABCJNHA_00011	manual_scaffold_1	12373	13752	+	1380	277	464
IABCJNHA_00012	manual_scaffold_1	13773	15659	+	1887	385	653
IABCJNHA_00013	manual_scaffold_1	15673	16392	+	720	97	160
IABCJNHA_00014	manual_scaffold_1	16514	17365	+	852	819	1026
IABCJNHA_00015	manual_scaffold_1	17416	17856	-	441	20	4
IABCJNHA_00016	manual_scaffold_1	18104	18865	+	762	382	179
IABCJNHA_00017	manual_scaffold_1	18858	19706	+	849	467	236
IABCJNHA_00018	manual_scaffold_1	19745	20362	-	618	4	10
IABCJNHA_00019	manual_scaffold_1	20840	21838	+	999	1	6
IABCJNHA_00020	manual_scaffold_1	21932	22138	+	207	45	26
IABCJNHA_00021	manual_scaffold_1	22189	24192	+	2004	60	85
IABCJNHA_00022	manual_scaffold_1	24319	25419	+	1101	637	629
IABCJNHA_00023	manual_scaffold_1	25530	25817	+	288	2809	1063
IABCJNHA_00024	manual_scaffold_1	25858	26376	+	519	5783	2368
IABCJNHA_00025	manual_scaffold_1	26420	26659	+	240	1253	673
IABCJNHA_00026	manual_scaffold_1	26724	27482	+	759	14	173
IABCJNHA_00027	manual_scaffold_1	27541	28476	+	936	11	50
IABCJNHA_00028	manual_scaffold_1	28532	28912	+	381	8	40
IABCJNHA_00029	manual_scaffold_1	28930	29484	+	555	22	65
IABCJNHA_00030	manual_scaffold_1	29518	30873	-	1356	12	20
IABCJNHA_00031	manual_scaffold_1	31099	31998	+	900	157	105
IABCJNHA_00032	manual_scaffold_1	31995	34064	-	2070	153	60
IABCJNHA_00033	manual_scaffold_1	34136	35053	-	918	5	2
IABCJNHA_00034	manual_scaffold_1	35050	35460	-	411	0	4
IABCJNHA_00035	manual_scaffold_1	35617	35856	-	240	2	2
IABCJNHA_00036	manual_scaffold_1	36205	37581	+	1377	81	17
IABCJNHA_00037	manual_scaffold_1	38088	38654	-	567	36	3
IABCJNHA_00038	manual_scaffold_1	38814	39170	-	357	20	6
IABCJNHA_00039	manual_scaffold_1	39581	40102	+	522	15	6
